SYSFACNO,FACILITY_NAME,FACILITY_CATEGORY,ADDRESS1,ADDRESS2,CITY,STATE,ZIPCODE,COUNTY,EMAIL_ADDRESS,PHONE_AREA_CODE,PHONE_NUMBER,FAX_AREA_CODE,FAX_NUMBER,INACTIVE_DATE,INACTIVE_REASON,CREATE_DATE,UPDATE_DATE,NAME_OF_CONTRACTED_SHELTER,LOCALITIES_SERVED,CONTACT_NAME,TITLE
121,Showstock Animal Haven,HO,114 Cleveland Ave,,Charlottesville,VA,22903,Virginia,jrouson@aol.com,434,9846385,434,9846385,,,1/6/05 9:05,1/3/19 10:07,,,Jessamy Rouson,..President
122,Chesterfield County Animal Control and Public Animal Shelter,PU,9300 Public Works Road,,Chesterfield,VA,23832,Chesterfield,jonescv@chesterfield.gov,804,748-1683,804,717-6036,,,1/6/05 9:05,1/14/19 11:54,,,Carrie Jones,Manager
123,"Meower Power Feral Cat Coalition, Inc.",HO,P.O. Box 9696,,Chesapeake,VA,23321,,cmoose@cox.net,757,465-0845,,,,,1/6/05 9:05,2/4/19 11:25,,,Cynthia Moose,President / Founder
124,Friends of Homeless Animals,PR,39710 Goodpuppy Lane,,Aldie,VA,20105,Loudoun,executivedirector@foha.org,703,385-0224,703,327-2273,,,1/6/05 9:05,1/27/19 20:35,,,Katie Crockett,Executive Director
125,Portsmouth Animal Control,AC,711 Crawford Street,,Portsmouth,VA,23704,,dunningm@portsmouthva.gov,757,393-8430,757,393-5318,,,1/6/05 9:05,1/9/19 11:25,Portsmouth Humane Society,,Michele Dunning,Animal Control Supervisor
126,Amelia County Animal Control and Public Animal Shelter,PU,P. O. Box A,16565 Five Forks Road,Amelia,VA,23002,Amelia,ameliaanimalshelter@ameliacova.com,804,561-3878,804,561-6039,,,1/6/05 9:05,1/30/19 19:56,,No,Brian Wootton,Animal Control Officer
127,King & Queen County Animal Control,AC,P. O. Box 38,"242 Allens Circle, Suite A",King and Queen C.H.,VA,23085,King & Queen,wrbalderson@kqso.net,804,785-7400,804,785-5489,,,1/6/05 9:05,1/25/19 10:36,King William County Public Animal Shelter,,Rob Balderson,Chief Deputy
128,King William Animal Control,PU,351 Courthouse Ln,Suite #160,King William,VA,23086,King William,animalcontrol@kingwilliamcounty.us,804,769-4963,804,769-0334,4/5/12 10:40,Combined with new KW pound facility. -SRH,1/6/05 9:05,1/13/15 9:45,,,,
129,Montgomery County Animal Control and Public Animal Shelter,PU,480 Cinnabar Road,,Christiansburg,VA,24073,Montgomery,mahanem@montgomerycountyva.gov,540,382-5795,,,,,1/6/05 9:05,1/3/19 16:46,,,Eileen Mahan,Director
130,Orange County Animal Shelter,PU,11362 Porter Road,,Orange,VA,22960,Orange,bhamilton@orangecova.com,540,672-1124,540,672-7047,9/26/07 13:21,Filed under Orange County Animal Control,1/6/05 9:05,9/26/07 13:21,,,,
131,Richmond County Animal Control,AC,P.O. Box 115,106 Wallace Street,Warsaw,VA,22572,Richmond,ssmith@co.richmond.va.us,804,333-3611,804,333-3121,,,1/6/05 9:05,1/7/19 10:55,Westmoreland County Animal Shelter,,Dep. R E THOMAS Jr.,Deputy/ ACO
132,"Animal Aid Society, Inc.",PR,80 Butler Farm Rd.,,Hampton,VA,23666,VA,intakemanager@animalaidsociety.org,757,865-0511,,,,,1/6/05 9:05,2/4/19 14:29,,,Pam Christiansen,Intake manager
133,Animal Welfare League of Arlington (Contracted Public Animal Shelter),PU,(Facility includes City of Falls Church),2650 S. Arlington Mill Drive,Arlington,VA,22206,VA,mail@awla.org,703,39319241,703,39319241,,,1/6/05 9:05,1/18/19 15:07,,"Arlington County, City of Falls Church",Amy Schindler,Chief Operating Officer
134,Animal Welfare Adoption & Rescue,PR,P. O. Box 654,,Locust Grove,VA,22508,Orange,,540,854-5276,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
135,Caring for Creatures,HO,352 Sanctuary Lane,,Palmyra,VA,22963,Fluvanna,kenjahome@aol.com,434,842-2404,434,842-1308,,,1/6/05 9:05,1/31/19 16:15,,,Mary K. Birkholz,President
136,Richmond SPCA,PR,2519 Hermitage Road,,Richmond,VA,23220,Richmond City,tkingry@richmondspca.org,804,521-1300,804,521-0540,,,1/6/05 9:05,1/30/19 15:07,,,Tamsen Heckel Kingry,Chief Operating Officer
137,"Feline Friends, Inc.",HO,3166 Eton Road,,Hardy,VA,24101,Franklin,,540,890-5003,540,890-5003,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
138,Pulaski County Humane Society,HO,80 Dublin Park Rd,,Dublin,VA,24084,Pulaski,office@hsopcva.org,540,674-0089,540,674-1523,,,1/6/05 9:05,1/16/19 14:35,,,Rhiannon Watson,Administrator
139,Richmond Animal League,PR,11401 International Drive,,Richmond,VA,23236,North Chesterfield,pam@ral.org,804,379-0046,804,378-7507,,,1/6/05 9:05,1/29/19 18:18,,,Pamela R Bridgmon,Director of Kennel Operations 
140,Fredericksburg Regional SPCA,PR,10819 Courthouse Rd.,,Fredericksburg,VA,22408,Spotsylvania,cdaly@fredspca.org,540,898-1500,540,898-1583,,,1/6/05 9:05,1/30/19 13:07,,,Caitlin Daly,Executive Director
141,Gloucester-Mathews Humane Society (Contracted Public Animal Shelter),PU,P.O. Box 385,6620 Jackson Lane,Gloucester,VA,23061,Gloucester,information@gmhumanesociety.org,804,693-5520,804,693-2009,,,1/6/05 9:05,1/11/19 8:57,,Mathews County & Gloucester County,Amanda Scott,Shelter Manager
142,Halifax County Humane Society,HO,P. O. Box 969,,South Boston,VA,24592,Halifax,lmmercer@embarqmail.com,434,476-8111,,,,,1/6/05 9:05,1/18/19 11:47,,,Linda Mercer,secretary
143,Henrico Humane Society,PR,P.O. Box 28014,,Richmond,VA,23228,Henrico,adopt@henricohumane.org,804,262-6634,,,,,1/6/05 9:05,1/18/19 12:29,,,Shannon Troyka,President
144,Homeless Animals Rescue Team (HART),HO,P. O. Box 7261,,Fairfax Station,VA,22039,VA,hart90office@hart90.org,703,6914278,703,6911041,,,1/6/05 9:05,1/23/19 12:40,,,Kim Roberts,Animal Programs Manager
145,"Heritage Humane Society (Contracted for Williamsburg, James City, & York)",PU,430 Waller Mill Road,,Williamsburg,VA,23185,VA,Director@heritagehumanesociety.org,757,2210150,757,2210361,,,1/6/05 9:05,1/10/19 12:56,,"City of Williamsburg, James City County, York County",Kimberly Laska,Executive Director
146,Hopewell Humane Society,PR,P.O. Box 562,3412 Oaklawn Blvd,Hopewell,VA,23860,,hopewellhumanesociety@yahoo.com,804,458-7303,804,352-5070,,,1/6/05 9:05,2/13/19 20:00,,,Helen Meleshenko,Shelter Manager
147,Isle of Wight Humane Society,HO,P. O. Box 273,,Smithfield,VA,23431,Isle of Wight,iowchs@charter.net,757,357-4214,757,365-4207,,,1/6/05 9:05,1/29/19 16:55,,,Cindy H. Emanuel,Foster Mom
148,Humane Society of Loudoun County,HO,P.O. Box 777,,Leesburg,VA,20178,Loudoun,helpanimals@humaneloudoun.org,703,777-2912,,,,,1/6/05 9:05,1/31/19 21:45,,,Donna Drake,Vice President
149,Lynchburg Humane Society (Contracted Public Animal Shelter for Lynchburg City),PU,1211 Old Graves Mill Road,,Lynchburg,VA,24502,,contact@lynchburghumane.org,434,448-0088,,,,,1/6/05 9:05,1/25/19 9:35,,City of Lynchburg,Jill Mollohan,Associate Director
150,SPCA of Martinsville-Henry County,PR,132 Joseph Martin Highway,,Martinsville,VA,24112,Henry,exec@spcamhc.org,276,638-7297,276,638-0490,,,1/6/05 9:05,1/11/19 13:41,,,Susan Sessoms,Agency Representative
151,Montgomery County Humane Society,PR,1183 Flanagan Drive,,Christiansburg,VA,24073,Montgomery,hsmcshelter@hotmail.com,540,382-1166,,,,,1/6/05 9:05,1/16/19 12:29,,,Jamie L. Burton,Shelter Manager
152,Humane Society/SPCA of Nelson County,PR,29 Stagebridge Rd,,Lovingston,VA,22949-2446,Nelson,bettegrahame27@gmail.com,434,263-7722,434,263-7720,,,1/6/05 9:05,1/14/19 12:39,,,Julien R. Phillips,Treasurer
153,Norfolk SPCA,PR,916 Ballentine Boulevard,,Norfolk,VA,23504,Norfolk City,mheard@norfolkspca.org,757,622-3319,757,622-7163,,,1/6/05 9:05,1/31/19 12:03,,,Melissa Heard,Shelter Operations Director
154,"Northern Virginia Animal League, Inc.",PR,7552 Hyde Court,,Manassas,VA,20109,Prince William,,703,361-9230,,,1/10/14 10:24,Facility ceased operation - SRH 1/10/14,1/6/05 9:05,1/10/14 10:24,,,,
155,SPCA of Northern Virginia,HO,PO Box 100220,,Arlington,VA,22210,Arlington,information@spcanova.org,703,799-9390,703,637-4461,,,1/6/05 9:05,1/29/19 12:34,,,Dana Meeker,President
156,Peninsula SPCA,PR,523 J. Clyde Morris Boulevard,,Newport News,VA,23601,,megan@peninsulaspca.org,757,595-1399,757,595-9945,,,1/6/05 9:05,1/3/19 15:18,,,Megan Steele,Executive Director
157,People for the Ethical Treatment of Animals,PR,501 Front Street,,Norfolk,VA,23510,,info@peta.org,757,622-7382,,,,,1/6/05 9:05,1/31/19 22:56,,,Daphna Nachminovitch,Sr. VP Cruelty Investigations
158,"Portsmouth Humane Society, Inc. (Contracted Public Animal Shelter)",PU,4022 Seaboard Court,,Portsmouth,VA,23701,VA,frontoffice@portsmouthhumanesociety.org,757,3976004,757,3971900,,,1/6/05 9:05,1/30/19 12:12,,City of Portsmouth,Ashley Guyot,Front Office Supervisor
159,"Cat Corner, Inc., The",PR,85 Fulton Street,,Hampton,VA,23663,Virginia,info@thecatcornerinc.com,757,7220590,757,7220590,,,1/6/05 9:05,1/31/19 19:59,,,Tiffany Young,President 
160,Damien's Gift Feline Foundation,HO,126 Landon Lane,,Orange,VA,22960,Orange,,540,672-5281,,,4/6/15 15:38,"4/6/15-inactive per rep, no animals in 2014",1/6/05 9:05,4/6/15 15:38,,,,
161,Danville City Public Animal Shelter (operated by Danville Area Humane Society),PU,996 South Boston Road,P.O. Box 3352,Danville,VA,24543,,dahsinc@yahoo.com,434,799-0843,,,,,1/6/05 9:05,1/30/19 17:29,,"Danville, but we accept animals from any locality.",Paulette Dean,Executive Director
162,"SPCA - Eastern Shore, Inc.",PR,P.O. Box 164,26528 Lankford Highway,Onley,VA,23418,Accomack,shorespca@gmail.com,757,787-7385,757,787-7385,,,1/6/05 9:05,1/3/19 8:55,,,Sheila Crockett,Shelter manager
163,"Equine Rescue League, Inc.",HO,P.O. Box 4366,,Leesburg,VA,20177,Loudoun,bubbasays2@aol.com,540,822-4577,,,,,1/6/05 9:05,1/15/19 14:16,,,Cheryl Saulnier,President
164,Humane Society of Fairfax County (Administration/Small Animal Shelter),PR,4057 Chain Bridge Road,,Fairfax,VA,22030,,pets@hsfc.org,703,385-7387,703,935-8225,,,1/6/05 9:05,1/25/19 11:31,,,Victoria Kirby,President
165,Fauquier SPCA Private Animal Shelter,PR,9350 Rogues Rd,P.O. Box 733,Warrenton,VA,20188,Fauquier,lconsolla@fauquierspca.com,540,788-9000,,,,,1/6/05 9:05,1/19/19 10:48,,,Lynn Consolla,Data Manager
166,"Feline Foundation of Greater Washington, Inc., The",HO,11160 C-1 S Lakes Dr #707,,Reston,VA,20191,Fairfax,info@ffgw.org,703,920-8665,866,616-5896,,,1/6/05 9:05,1/28/19 16:54,,,Lisa Cason,President
167,FLAG (For the Love of Animals in Goochland),HO,P.O. Box 115,,Manakin-Sabot,VA,23103,Goochland,flagpets@hotmail.com,804,342-6975,804,784-2012,14-Dec-17,Permanently closed.,1/6/05 9:05,12/14/17 14:32,,,Penny Pearsall,President
168,Fluvanna SPCA (Contracted Public Animal Shelter),PU,5239 Union Mills Road,,Troy,VA,22974,Fluvanna,manager@FSPCA.org,434,591-0123,434,591-0122,,,1/6/05 9:05,1/10/19 14:02,,Fluvanna County,Jessy Shifflett,Shelter Manger
169,"Franklin-Southampton County Humane Society, Inc.",PR,27463 Pretlow Road,,Franklin,VA,23851-0152,Franklin City,,757,562-2510,,,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,5/9/06 10:46,,,,
170,Charlottesville-Albemarle SPCA Animal Shelter,PR,3355 Berkmar Drive,,Charlottesville,VA,22901,Albemarle,info@caspca.org,434,973-5959,434,973-5271,,,1/6/05 9:05,1/31/19 13:03,,,Heather Sullivan,Director of Operations
171,"Alleghany Humane Society, Inc. (Contracted County/City Animal Shelter)",PU,9313 Rich Patch Rd,,Covington,VA,24426,Alleghany,alleghanyhumanesociety@gmail.com,540,862-2436,540,862-7970,,,1/6/05 9:05,1/29/19 21:51,,"Alleghany County, City of Covington, Town of Clifton Forge",Marya Odham,"President, Board of Directors"
172,Humane Society of Amherst County (Contracted Public Animal Shelter),PR,P.O. Box 614,318 Shelter Lane,Amherst,VA,24521,Amherst,hsofac@gmail.com,434,946-2340,434,946-2173,2/2/10 22:53,Facility closed.  New facility built.  SRH 2/2/10,1/6/05 9:05,3/21/16 15:24,,,,
173,"Animal Assistance League of Virginia, Inc.",PR,1149 New Mill Drive,,Chesapeake,VA,23322,,aalofva@aol.com,757,548-0045,757,548-0045,,,1/6/05 9:05,1/15/19 11:17,,,Tracey L Ferrell,President/Treasurer
174,Animal Welfare League of Alexandria (Contracted Public Animal Shelter),PR,4101 Eisenhower Avenue,,Alexandria,VA,22304,,info@alexandriaanimals.org,703,746-4774,703,746-4775,,,1/6/05 9:05,1/31/19 17:42,,,Megan Webb,Executive Director
175,"Animal Welfare League of the Northern Neck, Inc.",HO,P. O. Box 975,,White Stone,VA,22578,Lancaster,Harvells349@gmail.com,804,435-0822,,,,,1/6/05 9:05,1/30/19 14:39,,,Joyce Page, Adoption Officer
176,Augusta Regional SPCA,PR,P. O. Box 2014,(33 Archery Lane),Staunton,VA,24402,Augusta,augustaspca@comcast.net,540,885-7722,540,885-1425,,,1/6/05 9:05,1/2/19 11:31,,,Deborah Caywood,Executive Director
177,Beath Animal Shelter,PR,P.O. Box 459,899 Buffalo Road,Dillwyn,VA,23936,Buckingham,beathanimalshelter@yahoo.com,434,983-7387,,,10/9/12 16:37,Facility Closed - SRH 10/9/12,1/6/05 9:05,10/9/12 16:37,,,,
178,"The Humane Society of Campbell County, Inc,",PR,P. O. Box 659,,Rustburg,VA,24588,Campbell,info@humanecampbell.org,434,821-3034,,,10/23/07 23:32,Inaccurate listing of facility (duplicate),1/6/05 9:05,10/23/07 23:32,,,,
179,Care About The Strays,HO,P. O. Box 9566,,Richmond,VA,23228,Richmond City,,804,358-1731,804,358-7486,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
180,Martinsville City Animal Control and Public Animal Shelter,PU,55 West Church Street,,Martinsville,VA,24112,,animalctrl@ci.martinsville.va.us,276,403-5300,276,403-5306,,,1/6/05 9:05,1/11/19 10:09,,,E.C. Stone,Animal Control Officer
181,Norfolk City Animal Control and Public Animal Shelter,PU,5585 Sabre Road,,Norfolk,VA,23502,,nacc@norfolk.gov,757,441-5505,757,441-5538,,,1/6/05 9:05,1/23/19 15:31,,,Jake,Roos
182,Norton City Animal Control,AC,618 Virginia Ave NW,PO Box 618,Norton,VA,24273,Norton City,pcchildress@nortonpd.org,276,679-1211,276,6793510,,,1/6/05 9:05,1/7/19 16:35,Wise County Animal Shelter,,Police Department,Officer
183,Petersburg City Animal Control and Public Animal Shelter,PU,37 East Tabb Street,1600 Johnson Road,Petersburg,VA,23803,,animalcontrol@petersburg-va.org,804,732-3654,804,862-3571,,,1/6/05 9:05,1/29/19 14:21,,City of Petersburg,Deborah Broughton,Chief Warden
184,Radford City Animal Control and Public Animal Shelter,PU,20 Robertson Street,,Radford,VA,24141,,adele.katrovitz@radfordva.gov,540,731-3688,540,731-3620,,,1/6/05 9:05,1/2/19 13:12,,,Adele Katrovitz,Animal Control Officer
185,Richmond City Animal Control and Public Animal Shelter,PU,1600 Chamberlayne Avenue,,Richmond,VA,23222,,christie.peters@richmondgov.com,804,646-5573,804,646-5586,,,1/6/05 9:05,1/7/19 16:31,,City of Richmond ,Christie Chipps Peters ,Director
186,Roanoke City Animal Control,AC,348 Campbell Ave SW,,Roanoke,VA,24016,,jennings.tardy@roanokeva.gov,540,853-2387,540,853-6616,,,1/6/05 9:05,1/29/19 15:13,Regional Center for Animal Care and Protection,,Jennings Tardy,Lieutenant
187,Salem City Animal Control  and Public Animal Shelter (inc. Craig County),PU,1301 Indiana Street,,Salem,VA,24153,Salem City,bstump@salemva.gov,540,375-3038,540,375-8889,,,1/6/05 9:05,1/9/19 9:04,,City of Salem and Craig County,Brian Stump,Animal Control Supervisor
188,South Boston  Animal Control (Town),AC,640 Hamilton Blvd.,,South Boston,VA,24592,Halifax,adunn@southbostonva.us,434,575-7273,434,575-0179,,,1/6/05 9:05,1/24/19 17:06,Halifax County Animal Control,,Allison Dunn,Animal Control Officer
189,Staunton City Animal Control,AC,116 West Beverley Street,,Staunton,VA,24401,,Holsingerlj@ci.staunton.va.us,540,332-3842,540,332-3980,,,1/6/05 9:05,1/25/19 15:16,Shenandoah Valley Animal Services Center,,Lesley Holsinger,ACO
190,Suffolk City Animal Control and Public Animal Shelter,PU,124 Forest Glen Drive,,Suffolk,VA,23434,,ANIMALCONTROL@suffolkva.us,757,514-7855,757,923-2156,,,1/6/05 9:05,1/11/19 13:30,,,Laurie Brittle,Shelter Manager
191,Vienna  Animal Control (Town),AC,215  Center Street South,,Vienna,VA,22180,Fairfax,John.Barker@viennava.gov,703,255-6377,703,255-5732,,,1/6/05 9:05,2/12/19 9:33,Fairfax County Animal Shelter,,John Barker,Animal Warden ACO
192,Virginia Beach Animal Control and Public Animal Shelter,PU,341 S. Birdneck Road,,Virginia Beach,VA,23451,,VBPDAC@VBGOV.COM,757,385-4444,757,227-9687,,,1/6/05 9:05,1/24/19 9:44,,,Juleen Ballance,Shelter Manager
193,Waynesboro City Animal Control,AC,"250 South Wanye Ave, Suite #102, Box 3",,Waynesboro,VA,22980,,pricedl@ci.waynesboro.va.us,540,942-6675,540,942-6513,,,1/6/05 9:05,1/31/19 23:26,Shenandoah Valley Animal Services Center,,Off. Darlene A. Price,Animal Control Officer
194,Williamsburg City Animal Control,PU,P. O. Box 8784,,Williamsburg,VA,23187,Williamsburg City,shirleya@james-city.va.us,757,253-1800,,,12/31/07 16:34,James City Co. contracts animal control for Williamsburg,1/6/05 9:05,12/31/07 16:34,,,,
195,Winchester Animal Control,AC,231 East Piccadilly Street,,Winchester,VA,22601,,andrea.enke@winchesterva.gov,540,662-4131,540,542-1312,,,1/6/05 9:05,1/22/19 10:09,Winchester SPCA,,Andrea Enke,MPO/ACO
196,Wytheville (Town) Animal Control and Public Animal Shelter,PU,185 W. Spring Street,,Wytheville,VA,24382,Wythe,kevink@wytheville.org,276,223-3300,276,223-3313,,,1/6/05 9:05,1/22/19 10:32,,,Kevin Kelley,Animal Control Officier
197,Tazewell County Animal Control and Public Animal Shelter,PU,197 Main Street ,,Tazewell,VA,24651,Tazewell,gdawson@tazewellcounty.org,276,988-5795,276,322-7693,,,1/6/05 9:05,1/25/19 11:30,,,Ginny Dawson,Director
198,Westmoreland Co. Animal Control and Public Animal Shelter (inc. Richmond Co.),PU,P.O. Box 305,(6154 Stratford Hall Rd.),Montross,VA,22520,Westmoreland,westcoshelter@hotmail.com,804,493-0869,804,493-3619,,,1/6/05 9:05,2/6/19 11:02,,Richmond County and Westmoreland County,Thomas Hamilton,Shelter Manager
199,Wythe County Animal Control and Public Animal Shelter (inc. Bland County),PU,340 South 6th Street,,Wytheville,VA,24382,Wythe,animalcontrol@wytheco.org,276,228-6003,276,223-4515,,,1/6/05 9:05,1/7/19 10:35,,"Wythe County, Bland County ",Arlan B. Dunford,Supervisor
200,York County Animal Control,AC,P.O. Box 532,301 Goodwin Neck Road,Yorktown,VA,23690,York,flsafety@yorkcounty.gov,757,890-3600,757,890-3609,,,1/6/05 9:05,1/14/19 14:24,Peninsula Regional Animal Shelter/ Heritage Humane Society,,Mitch Monroe,Animal Services Supervisor
201,Culpeper County Animal Control and Public Animal Shelter,PU,10144 James Monroe Highway,,Culpeper,VA,22701,Culpeper,jbennett@culpepercounty.gov,540,547-4477,540,547-9690,,,1/6/05 9:05,1/22/19 15:04,,,Jamie Bennett,Director
202,Southampton County Animal Control and Public Animal Shelter,PU,P.O. Box 70,,Courtland,VA,23837,Southampton,djoyner@shso.org,757,653-2100,757,653-9452,,,1/6/05 9:05,1/28/19 13:27,,,D/S David Joyner,Animal Control Officer
203,Wise County Animal Control and Public Animal Shelter (inc. Norton City),PU,P.O. Box 570,4701 Blackwood Industrial Park Rd.,Wise,VA,24293,Virginia,animal_control@wisecounty.org,276,679-6750,276,679-5446,,,1/6/05 9:05,1/25/19 9:27,,,Carrie Hughes ,Shelter Manager
204,Page County Animal Control and Public Animal Shelter,PU,1261 Goodrich Rd.,,Stanley,VA,22851,Page,animalshelter@pagecounty.virginia.gov,540,778-2101,540,778-3675,,,1/6/05 9:05,1/23/19 14:06,,,Jami Cooper,Shelter Manager
205,Bedford City Animal Control,PU,215 East Main Street,,Bedford,VA,24523,,,540,587-6011,540,586-7198,12/12/13 22:25,City reverted to town - no ACO - SRH 12/12/13,1/6/05 9:05,12/12/13 22:25,,,,
206,Jones Animal Hospital (Contracted Public Animal Shelter for Bristol City),PU,"603 Volunteer Parkway, Suite 1",,Bristol,TN,37620,,deena.bouton@bristolva.org,423,968-7011,276,645-7405,3-Jan-19,No longer a releasing agency.,1/6/05 9:05,1/3/19 12:00,,"City of Bristol, Va",Deena Bouton,Animal Control Officer
207,Buena Vista Animal Control,AC,2039 Sycamore ave,,Buena Vista,VA,24416,,dcoleman@bvcity.org,540,261-8615,540,261-2424,,,1/6/05 9:05,1/4/19 9:46,Rockbridge SPCA,,Danny Coleman,Deputy Sheriff/Animal Control
208,Chesapeake City Animal Control and Public Animal Shelter,PU,2100 S Military Highway,,Chesapeake,VA,23320,Chesapeake City,ssockman@cityofchesapeake.net,757,382-8081,757,961-1574,,,1/6/05 9:05,1/31/19 10:13,,,Sharon Sockman,Superintendent
209,Clifton Forge Animal Control (Town),AC,547 Main Street,,Clifton Forge,VA,24422,Virginia,stacy.jeffries@cliftonforgeva.gov,540,863-2513,540,863-2537,,,1/6/05 9:05,1/28/19 13:24,Alleghany Humane Society,,Stacy Jeffries,Records Specialist 
210,Colonial Heights Animal Control and Public Animal Shelter,PU,100-A Highland Avenue,,Colonial Heights,VA,23834,,animalshelter@colonial-heights.com,804,520-9397,,,,,1/6/05 9:05,1/7/19 13:34,,,S. Groat,Captain
211,Covington City Animal Control,AC,333 West Locust Street,,Covington,VA,24426,Alleghany,rdawson@covington.va.us,540,965-6333,540,965-6334,,,1/6/05 9:05,2/4/19 11:10,,,Delbert Smith,Aninmal Control Officer
212,Danville City Animal Control,AC,P.O. Box 3300,,Danville,VA,24543,,touchdl@danvilleva.gov,434,548-3017,434,799-5022,,,1/6/05 9:05,1/31/19 9:22,Danville City Public Animal Shelter (operated by Danville Area Humane Society),,Desmon Touchstone,Animal Control
213,Emporia Animal Control and Public Animal Shelter,PU,P.O. Box 511,310 Budd Street,Emporia,VA,23847,,rpinksaw@emporiapolice.org,434,634-2121,434,634-7326,,,1/6/05 9:05,1/25/19 15:06,,"Emporia, V.A.",Joey Turner,Senior Animal Control Officer
214,Falls Church Animal Control,AC,300 Park Avenue,,Falls Church,VA,22046,,rkeenan@fallschurchva.gov,703,248-5172,703,248-5158,,,1/6/05 9:05,1/22/19 16:53,Animal Welfare League of Arlington,,ACO Rebecca Keenan,Animal Control Officer/Police Department
215,Town & Country Animal Hospital (Public Animal Shelter for Fairfax City),PU,9836 Fairfax Blvd.,,Fairfax,VA,22031,,joyce.holden@fairfaxva.gov,703,385-7924,703,359-2488,,,1/6/05 9:05,1/29/19 12:57,,City of Fairfax,Joyce Holden,Animal Control Officer
216,Franklin City Animal Control and Public Animal Shelter,PU,1018 Pretlow Street,,Franklin,VA,23851,Virginia,mvargo@franlinpolice.org,757,75628605,757,5620877,,,1/6/05 9:05,1/9/19 7:21,,,Maria Vargo,ACO
217,Harrisonburg  Animal Control,AC,101 North Main Street,,Harrisonburg,VA,22802,,HACC@HarrisonburgVA.gov,540,437-2671,540,437-2614,,,1/6/05 9:05,1/17/19 10:30,Rockingham-Harrisonburg SPCA,,Geoff Bechtel,POII/ACO
218,Hopewell City Animal Control and Public Animal Shelter,PU,300 North Main Street,,Hopewell,VA,23860,,ahoak@hopewellva.gov,804,541-2204,804,541-2345,,,1/6/05 9:05,1/31/19 13:15,,,Amanda Hoak,Animal Control Supervisor
219,Manassas City Animal Shelter,PU,9050 Liberia Avenue,,Manassas,VA,20110,Manassas City,,703,257-8101,703,368-6966,11/13/06 13:58,PER NOTES OF DR. HASKELL,1/6/05 9:05,,,,,
220,Manassas Park  Animal Control,AC,329 Manassas Drive,,Manassas Park,VA,20111,,a.shumate@manassasparkva.gov,703,361-1136,703,330-2591,,,1/6/05 9:05,1/14/19 13:00,City of Manassas Animal Shelter,,Manassas Park Police Department,Sergeant Andrew Shumate
221,Marion  Animal Control (Town),AC,555 South Main Street,,Marion,VA,24354,Smyth,offiser535@hotmail.com,276,783-8145,276,783-4001,,,1/6/05 9:05,2/4/19 11:24,Smyth County Public Animal Shelter,,LEE Farmer,ACO
222,Stafford County Animal Control and Public Animal Shelter,PU,26 Frosty Lane,,Stafford,VA,22554,Virginia,mnull@staffordcountyva.gov,540,6587387,540,6584271,,,1/6/05 9:05,1/17/19 12:43,,,Catherine Spicer,Shelter Manager 
223,Surry County Animal Control and Public Animal Shelter,PU,265 Old Burrough Road,P.O. Box 65,Surry,VA,23883,va ,tholloman@surrycountyva.gov,757,294-0158,757,294-5204,,,1/6/05 9:05,1/29/19 14:53,,,Terry-Jo Holloman,Shelter Attendant 
224,Sussex County Animal Control and Public Animal Shelter,PU,P.O. Box 1397,14493 Robinson Road,Sussex,VA,23884,Sussex,cstainback@sussexcountyva.gov,804,835-2903,434,246-2790,,,1/6/05 9:05,1/11/19 14:23,,Sussex,Cecil R. Stainback,Animal Services Officer
225,Fluvanna County Animal Control,PU,P.O BOX 113,,Palmyra,VA,22963,Fluvanna,psheridan@co.fluvanna.va.us,434,589-8211,434,591-1989,4/20/16 13:00,should be reporting on Fluvanna SPCA's report (contracted shelter) -AT 4/16,1/6/05 9:05,4/20/16 13:00,,,,
226,Franklin County Animal Control and Public Animal Shelter,PU,1488 Franklin St.,,Rocky Mount,VA,24151,Franklin,cindy.brooks@franklincountyva.gov,540,483-7440,540,483-7839,,,1/6/05 9:05,1/23/19 16:14,,Franklin County ,Cindy Brooks,Manager
227,Frederick County Animal Control and Public Animal Shelter,PU,161 Fort Collier Road,,Winchester,VA,22603,Frederick,shelter@fcva.us,540,667-9192,540,722-6108,,,1/6/05 9:05,1/9/19 10:39,,,Holly Grim,Assistant Manager
228,Galax-Carroll-Grayson Animal Control and Public Animal Shelter,PU,111 East Grayson Street,201 Fair Street,Galax,VA,24333,,jboyer@galaxva.com,276,236-8501,,,,,1/6/05 9:05,1/3/19 10:02,,,Jessica Boyer,Animal Shelter Supervisor
229,Gloucester County Animal Control and Public Animal Shelter,PU,P.O. Box 329,,Gloucester,VA,23061,Gloucester,jstillma@gloucesterva.info,804,693-5290,804,824-2463,,,1/6/05 9:05,1/2/19 9:34,,,Jeffrey Stillman Sr.,Officer
230,Goochland County Animal Control and Public Animal Shelter,PU,P.O. Box 10,1900 Hidden Rock Lane,Goochland,VA,23063,Goochland,tclough@goochlandva.us,804,556-5302,804,556-4617,,,1/6/05 9:05,1/15/19 10:00,,,Tim Clough,Director of Animal Protection
